,date,wind_code,sec_name,wind_type1
96,2020-11-15,000488.SZ,晨鸣纸业,A股
97,2020-11-15,000498.SZ,山东路桥,A股
98,2020-11-15,000501.SZ,鄂武商A,A股
99,2020-11-15,000502.SZ,绿景控股,A股
100,2020-11-15,000503.SZ,国新健康,A股
101,2020-11-15,000504.SZ,ST生物,A股
102,2020-11-15,000505.SZ,京粮控股,A股
103,2020-11-15,000506.SZ,中润资源,A股
104,2020-11-15,000507.SZ,珠海港,A股
105,2020-11-15,000509.SZ,*ST华塑,A股
106,2020-11-15,000510.SZ,新金路,A股
107,2020-11-15,000513.SZ,丽珠集团,A股
108,2020-11-15,000514.SZ,渝开发,A股
109,2020-11-15,000516.SZ,国际医学,A股
110,2020-11-15,000517.SZ,荣安地产,A股
111,2020-11-15,000518.SZ,四环生物,A股
112,2020-11-15,000519.SZ,中兵红箭,A股
113,2020-11-15,000520.SZ,长航凤凰,A股
114,2020-11-15,000521.SZ,长虹美菱,A股
115,2020-11-15,000523.SZ,广州浪奇,A股
116,2020-11-15,000524.SZ,岭南控股,A股
117,2020-11-15,000525.SZ,红太阳,A股
118,2020-11-15,000526.SZ,紫光学大,A股
119,2020-11-15,000528.SZ,柳工,A股
120,2020-11-15,000529.SZ,广弘控股,A股
121,2020-11-15,000530.SZ,冰山冷热,A股
122,2020-11-15,000531.SZ,穗恒运A,A股
123,2020-11-15,000532.SZ,华金资本,A股
124,2020-11-15,000533.SZ,顺钠股份,A股
125,2020-11-15,000534.SZ,万泽股份,A股
126,2020-11-15,000536.SZ,*ST华映,A股
127,2020-11-15,000537.SZ,广宇发展,A股
128,2020-11-15,000538.SZ,云南白药,A股
129,2020-11-15,000539.SZ,粤电力A,A股
130,2020-11-15,000540.SZ,中天金融,A股
131,2020-11-15,000541.SZ,佛山照明,A股
132,2020-11-15,000543.SZ,皖能电力,A股
133,2020-11-15,000544.SZ,中原环保,A股
134,2020-11-15,000545.SZ,金浦钛业,A股
135,2020-11-15,000546.SZ,金圆股份,A股
136,2020-11-15,000547.SZ,航天发展,A股
137,2020-11-15,000548.SZ,湖南投资,A股
138,2020-11-15,000550.SZ,江铃汽车,A股
139,2020-11-15,000551.SZ,创元科技,A股
140,2020-11-15,000552.SZ,靖远煤电,A股
141,2020-11-15,000553.SZ,安道麦A,A股
142,2020-11-15,000554.SZ,泰山石油,A股
143,2020-11-15,000555.SZ,神州信息,A股
144,2020-11-15,000557.SZ,西部创业,A股
145,2020-11-15,000558.SZ,莱茵体育,A股
146,2020-11-15,000559.SZ,万向钱潮,A股
147,2020-11-15,000560.SZ,我爱我家,A股
148,2020-11-15,000561.SZ,烽火电子,A股
149,2020-11-15,000563.SZ,陕国投A,A股
150,2020-11-15,000564.SZ,供销大集,A股
151,2020-11-15,000565.SZ,渝三峡A,A股
152,2020-11-15,000566.SZ,海南海药,A股
153,2020-11-15,000567.SZ,海德股份,A股
154,2020-11-15,000568.SZ,泸州老窖,A股
155,2020-11-15,000570.SZ,苏常柴A,A股
156,2020-11-15,000571.SZ,*ST大洲,A股
157,2020-11-15,000572.SZ,ST海马,A股
158,2020-11-15,000573.SZ,粤宏远A,A股
159,2020-11-15,000576.SZ,甘化科工,A股
160,2020-11-15,000581.SZ,威孚高科,A股
161,2020-11-15,000582.SZ,北部湾港,A股
162,2020-11-15,000584.SZ,哈工智能,A股
163,2020-11-15,000585.SZ,*ST东电,A股
164,2020-11-15,000586.SZ,汇源通信,A股
165,2020-11-15,000587.SZ,*ST金洲,A股
166,2020-11-15,000589.SZ,贵州轮胎,A股
167,2020-11-15,000590.SZ,启迪古汉,A股
168,2020-11-15,000591.SZ,太阳能,A股
169,2020-11-15,000592.SZ,平潭发展,A股
170,2020-11-15,000593.SZ,大通燃气,A股
171,2020-11-15,000595.SZ,*ST宝实,A股
172,2020-11-15,000596.SZ,古井贡酒,A股
173,2020-11-15,000597.SZ,东北制药,A股
174,2020-11-15,000598.SZ,兴蓉环境,A股
175,2020-11-15,000599.SZ,青岛双星,A股
176,2020-11-15,000600.SZ,建投能源,A股
177,2020-11-15,000601.SZ,韶能股份,A股
178,2020-11-15,000603.SZ,盛达资源,A股
179,2020-11-15,000605.SZ,渤海股份,A股
180,2020-11-15,000606.SZ,顺利办,A股
181,2020-11-15,000607.SZ,华媒控股,A股
